,小区名称,所在区域,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限,位置名称,总价(万),单价(元/平米),建筑类型,楼层总数
136,格调,二至三环,2007,2室1厅1厨1卫,低楼层 ,80.7㎡,南,精装,两梯六户,有,70年,马连道,770.0,95416,板塔结合,23
137,西便门外大街,二至三环,1978,2室1厅1厨1卫,中楼层 ,45.9㎡,南 北,精装,一梯三户,无,70年,木樨地,610.0,132898,板楼,5
138,铁二区,二至三环,1999,2室1厅1厨1卫,高楼层 ,75.2㎡,东,精装,两梯十户,有,70年,月坛,999.0,132846,塔楼,18
139,前半壁街,二环内,1989,1室1厅1厨1卫,顶层 ,39.3㎡,南,简装,一梯三户,无,70年,官园,520.0,132316,板楼,6
140,百万庄17号院,二至三环,1976,2室1厅1厨1卫,中楼层 ,48.3㎡,南 北,精装,一梯三户,暂无数据,70年,阜成门,660.0,136646,板楼,5
141,广华轩,二至三环,2000,2室1厅1厨1卫,底层 ,74.74㎡,东南,简装,两梯十户,有,70年,广安门,610.0,81617,塔楼,24
142,阳光丽景,二至三环,2003,3室2厅1厨2卫,低楼层 ,141.48㎡,南 北,精装,一梯两户,有,70年,马甸,2090.0,147725,板塔结合,18
143,红居南街,二至三环,1980,2室1厅1厨1卫,低楼层 ,52.71㎡,南 西 北,精装,一梯两户,无,70年,广安门,485.0,92013,板楼,6
144,新德街35号院,二至三环,1990,2室1厅1厨1卫,中楼层 ,58.9㎡,南 北,简装,一梯两户,无,70年,德胜门,850.0,144313,板楼,7
145,荣丰2008,二至三环,2005,1室1厅1厨1卫,高楼层 ,35.1㎡,东南,精装,三梯三十九户,有,70年,广安门,446.0,127066,塔楼,12
146,牛街西里,二环内,2004,1室1厅1厨1卫,中楼层 ,58.27㎡,东南,精装,三梯十二户,有,70年,牛街,490.0,84092,塔楼,20
147,鲍家街,二环内,1989,3室1厅1厨1卫,中楼层 ,78.5㎡,西南 北,简装,两梯七户,有,70年,金融街,1330.0,169427,塔楼,16
148,清芷园,二环内,2003,2室1厅1厨1卫,中楼层 ,91.96㎡,西北,精装,两梯六户,有,70年,右安门内,940.0,102219,板塔结合,19
149,什坊街,二至三环,1975,2室1厅1厨1卫,顶层 ,48.2㎡,南 北,精装,一梯三户,无,70年,六铺炕,760.0,157677,板楼,5
150,槐柏树街南里,二环内,1991,2室1厅1厨1卫,高楼层 ,60.81㎡,南 北,精装,一梯两户,无,70年,长椿街,620.0,101957,板楼,6
151,凌云居,二环内,2000,3室1厅1厨2卫,中楼层 ,117.46㎡,西南,精装,三梯十二户,有,70年,牛街,900.0,76622,塔楼,22
152,椿树园,二环内,1998,2室1厅1厨1卫,低楼层 ,87.92㎡,东北,精装,一梯六户,有,70年,宣武门,980.0,111465,塔楼,17
153,月坛西街西里,二至三环,1954,3室1厅1厨1卫,低楼层 ,69.7㎡,东 西 北,简装,一梯两户,无,70年,月坛,699.0,100287,板楼,3
154,新街口西里三区,二环内,2008,2室1厅1厨1卫,中楼层 ,70.07㎡,南,精装,一梯三户,无,70年,新街口,840.0,119881,板楼,6
155,天宁寺东里,二至三环,1973,3室1厅1厨1卫,中楼层 ,59.76㎡,东 南 西,精装,一梯三户,无,70年,天宁寺,495.0,82832,板楼,5
156,六铺炕二区,二至三环,1990,2室1厅1厨1卫,低楼层 ,70.4㎡,西,精装,两梯八户,有,70年,六铺炕,989.0,140483,塔楼,17
157,丽水莲花,二至三环,2009,1室1厅1厨1卫,高楼层 ,60.33㎡,北,精装,两梯八户,有,70年,广安门,570.0,94481,板塔结合,20
158,新文化街,二环内,1979,3室1厅1厨1卫,中楼层 ,60.7㎡,南 北,简装,一梯三户,无,70年,金融街,900.0,148271,板楼,5
159,复兴门外大街,二至三环,1991,3室1厅1厨1卫,低楼层 ,109.4㎡,南,简装,两梯二十户,有,70年,木樨地,1320.0,120659,塔楼,16
160,阜成门南大街,二至三环,1985,1室1厅1厨1卫,中楼层 ,39.6㎡,东,精装,一梯八户,有,70年,月坛,510.0,128788,板塔结合,14
161,南纬路,二环内,1964,2室1厅1厨1卫,底层 ,58.79㎡,南 北,简装,一梯三户,无,70年,陶然亭,540.0,91853,板楼,5
162,德胜里一区,二至三环,1980,2室1厅1厨1卫,中楼层 ,53.7㎡,南 北,简装,一梯三户,无,70年,德胜门,798.0,148604,板楼,5
163,三义里,二至三环,1981,2室1厅1厨1卫,低楼层 ,56.8㎡,南,精装,两梯八户,有,70年,马连道,525.0,92430,板楼,12
164,中加大厦,二环内,1999,4室2厅1厨1卫,低楼层 ,191.03㎡,东南 北,简装,两梯四户,有,70年,白纸坊,1090.0,57060,塔楼,24
165,荣丰2008,二至三环,2006,1室0厅1厨1卫,高楼层 ,38.38㎡,北,简装,三梯二十七户,有,70年,广安门,370.0,96405,塔楼,26
166,德胜里一区,二至三环,1987,2室1厅1厨1卫,中楼层 ,58.4㎡,西北,简装,一梯七户,有,70年,德胜门,810.0,138699,塔楼,18
167,侨办大院,二至三环,1986,3室1厅1厨1卫,中楼层 ,74.9㎡,东北,精装,两梯八户,有,70年,阜成门,870.0,116155,塔楼,17
168,广安门外南街,二至三环,1993,2室1厅1厨2卫,中楼层 ,57.23㎡,东 南 西 北,简装,一梯四户,无,70年,天宁寺,635.0,110956,板楼,6
169,国英园,二环内,1999,4室2厅1厨2卫,中楼层 ,172㎡,南 北,精装,一梯两户,有,70年,官园,1980.0,115117,板楼,6
170,广安门外南街,二至三环,1990,1室1厅1厨1卫,底层 ,36.48㎡,南 北,简装,一梯四户,无,70年,天宁寺,495.0,135691,板楼,5
